"","LawaSiteID","SiteID","CouncilSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","ISLAND","CatchID","CatchType","TermReach","LAWA_CATCH","Comment","SOE_FW_RIV","CATCH_LBL"
"227","CCC-00012","","Avon River at Pages/Seaview Bridge","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","337","Parent","13046167","337",NA,"1","Avon River"
"228","CCC-00013","","Avon River at Bridge Street","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","337","Parent","13046167","337",NA,"1","Avon River"
"229","CCC-00014","","Heathcote River at Templetons Road","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"230","CCC-00015","","Haytons Stream at Retention Basin","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"231","CCC-00016","","Curletts Road Stream Upstream of Heathcote River","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"232","CCC-00017","","Curletts Road Stream at Motorway","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"233","CCC-00018","","Heathcote River at Rose Street","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"234","CCC-00019","","Cashmere Stream at Sutherlands Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"235","CCC-00020","","Cashmere Stream at Worsleys Road","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"236","CCC-00021","","Heathcote River at Ferniehurst Street","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"237","CCC-00022","","Heathcote River at Bowenvale Avenue","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"238","CCC-00023","","Heathcote River at Opawa Road/Clarendon Terrace","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"239","CCC-00024","","Heathcote River at MacKenzie Avenue","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"240","CCC-00026","","Heathcote River at Tunnel Road","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"241","CCC-00027","","Heathcote River at Ferrymead Bridge","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"242","CCC-00028","","Smacks Creek at Gardiners Road","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"243","CCC-00029","","Styx River at Gardiners Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"244","CCC-00030","","Styx River at Main North Road","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"245","CCC-00031","","Kaputone Creek at Blakes Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"246","CCC-00032","SQ30305","Kaputone Creek at Belfast Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"247","CCC-00033","","Styx River at Marshland Road Bridge","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"248","CCC-00034","","Styx River at Richards Bridge","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"249","CCC-00035","","Styx River at Harbour Road Bridge","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"250","CCC-00036","","Nottingham Stream at Candys Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"251","CCC-00037","","Knights Stream at Sabys Road","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","42","Parent","13057593","42",NA,"1","Ellesmere/Waihora Catchment"
"252","CCC-00038","","Halswell River at Akaroa Highway (Tai Tapu Road)","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","42","Parent","13057593","42",NA,"1","Ellesmere/Waihora Catchment"
"253","CCC-00039","","Otukaikino River at Groynes Inlet","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"254","CCC-00040","","Wilsons Stream","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"255","CCC-00041","","Linwood Canal/City Outfall Drain","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Christchurch","South","1811","Parent","13046651","1811",NA,"1","City Outfall"
"256","CCC-00042","","Otukaikino Creek at Omaka Scout Camp","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Christchurch","South","17","Parent","13070003","17",NA,"1","Waimakariri River"
"257","ECAN-10005","SQ34906","Heathcote River at Catherine St","YES","Lowland","Urban","Monthly","Monthly","Canterbury","Environment Canterbury Regional Council","South","409","Parent","13047241","409",NA,"1","Heathcote River"
"258","ECAN-10026","SQ20203","Orari River Gorge","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","135","Parent","13064483","135",NA,"1","Orari River"
"259","ECAN-00180","SQ20450","Pareora River SH1","YES","Lowland","Rural","","Quarterly","Canterbury","Environment Canterbury Regional Council","South","164","Parent","13066928","164",NA,"1","Paeora River"
"260","ECAN-00184","SQ20785","Tekapo River Steel Bridge","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"261","ECAN-00054","SQ21160","Waikakahi Stream Cock %26 Hen Road","YES","Lowland","Rural","Quarterly","Monthly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"262","ECAN-00194","SQ26242","Parakanoi Drain Lower Beach Road","YES","Lowland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","321","Parent","13062020","321",NA,"1","Parakanoi Drain"
"263","ECAN-00132","SQ30065","Hurunui River at at SH7","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","31","Parent","13024355","31",NA,"1","Hurunui River"
"264","ECAN-00193","SQ35798","Hinds River Lower Beach Road","YES","Lowland","Exotic","","Monthly","Canterbury","Environment Canterbury Regional Council","South","199","Parent","13062422","199",NA,"1","Hinds River"
"265","ECAN-00195","SQ35800","Clarence River above river mouth","YES","Lowland","Rural","","Quarterly","Canterbury","Environment Canterbury Regional Council","South","24","Parent","13003220","24",NA,"1","Clarence River"
"266","ECAN-00188","SQ35871","Otekaieke River Special School Road","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"267","ECAN-00174","SQ35872","Mandamus River Tekoa Road","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","31","Parent","13024355","31",NA,"1","Hurunui River"
"268","ECAN-00169","SQ35873","South Ashburton River Quarry Road","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"269","ECAN-00170","SQ35874","Gentleman Smith Stream Hakatere-Heron Road","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"270","ECAN-00171","SQ35875","Lambies Stream Ashburton Gorge Road","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"271","ECAN-00187","SQ35876","Ahuriri River Ben Omar","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"272","ES-00072","Aparima River at Thornbury","Aparima River at Thornbury","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","55","Parent","15059243","1000055",NA,"1","Aparima River"
"273","ES-00112","Oreti River at Wallacetown","Oreti River at Wallacetown","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"274","ES-00121","Waiau River at Sunnyside","Waiau River at Sunnyside","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"275","ES-00130","Waimea Stream at Mandeville","Waimea Stream at Mandeville","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"276","ES-00135","Waituna Creek at Marshall Road","Waituna Creek at Marshall Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","375","Parent","15062561","375",NA,"1","Waituna"
"277","ES-00004","Aparima River at Dunrobin","Aparima River at Dunrobin","Yes","Upland","Native","Monthly","Monthly","Southland","ES","South","55","Parent","15059243","1000055",NA,"1","Aparima River"
"278","ES-00013","Irthing Stream at Ellis Road","Irthing Stream at Ellis Road","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"279","ES-00037","Mataura River at Gore","Mataura River at Gore","Yes","Lowland","Urban","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"280","ES-00024","Mataura River at Parawa","Mataura River at Parawa","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"281","ES-00061","Orauea River at Orawia Pukemaori Road","Orauea River at Orawia Pukemaori Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"282","ES-00009","Oreti River at Three Kings","Oreti River at Three Kings","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"283","ES-00046","Otapiri Stream at Otapiri Gorge","Otapiri Stream at Otapiri Gorge","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"284","ES-00048","Bog Burn d/s Hundred Line Road","Bog Burn d/s Hundred Line Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"285","ES-00057","Carran Creek at Waituna Lagoon Road","Carran Creek at Waituna Lagoon Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","375","Parent","15062561","375",NA,"1","Waituna"
"286","ES-00006","Cascade Stream at Pourakino Valley Road","Cascade Stream at Pourakino Valley Road","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","281","Sub","1505909","281",NA,"1","Pourakino River"
"287","ES-00012","Cromel Stream at Selbie Road","Cromel Stream at Selbie Road","Yes","Upland","Native","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"288","ES-00163","Dipton Stream at South Hillend-Dipton Rd","Dipton Stream at South Hillend-Dipton Rd","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"289","ES-00016","Dunsdale Stream at Dunsdale Reserve","Dunsdale Stream at Dunsdale Reserve","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"290","ES-00164","Hamilton Burn at Affleck Road","Hamilton Burn at Affleck Road","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","55","Parent","15059243","1000055",NA,"1","Aparima River"
"291","ES-00165","Hedgehope Stream 20m u/s Makarewa Confl","Hedgehope Stream 20m u/s Makarewa Confl","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"292","ES-00166","Lill Burn at Lill Burn-Monowai Road","Lill Burn at Lill Burn-Monowai Road","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"293","ES-00065","Longridge Stream at Sandstone","Longridge Stream at Sandstone","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"294","ES-00047","Makarewa River at Lora Gorge Road","Makarewa River at Lora Gorge Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"295","ES-00015","Makarewa River at Wallacetown","Makarewa River at Wallacetown","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"296","ES-00003","Mararoa River at South Mavora Lake","Mararoa River at South Mavora Lake","Yes","Upland","Native","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"297","ES-00045","Mararoa River at The Key","Mararoa River at The Key","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"298","ES-00002","Mararoa River at Weir Road","Mararoa River at Weir Road","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"299","ES-00022","Mataura River 200m d/s Mataura Bridge","Mataura River 200m d/s Mataura Bridge","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"300","ES-00021","Mataura River at Mataura Island Bridge","Mataura River at Mataura Island Bridge","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"301","ES-00029","Mimihau Stream Tributary at Venlaw Forest","Mimihau Stream Tributary at Venlaw Forest","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"302","ES-00044","Mimihau Stream at Wyndham","Mimihau Stream at Wyndham","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"303","ES-00028","Mokoreta River at Wyndham River Road","Mokoreta River at Wyndham River Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"304","ES-00054","Mokotua Stream at Awarua","Mokotua Stream at Awarua","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","522","Parent","15061463","522",NA,"1","Mokotua Stream"
"305","ES-00067","North Peak Stream at Waimea Valley Road","North Peak Stream at Waimea Valley Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"306","ES-00052","Opouriki Stream at Tweedie Road","Opouriki Stream at Tweedie Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","281","Sub","1505909","281",NA,"1","Pourakino River"
"307","ES-00011","Oreti River at Lumsden Bridge","Oreti River at Lumsden Bridge","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"308","ES-00030","Otamita Stream at Mandeville","Otamita Stream at Mandeville","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"309","ES-00008","Otautau Stream at Otautau-Tuatapere Road","Otautau Stream at Otautau-Tuatapere Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","55","Parent","15059243","1000055",NA,"1","Aparima River"
"310","ES-00053","Otautau Stream at Waikouro","Otautau Stream at Waikouro","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","55","Parent","15059243","1000055",NA,"1","Aparima River"
"311","ES-00019","Otepuni Creek at Nith Street","Otepuni Creek at Nith Street","Yes","Lowland","Urban","Monthly","Monthly","Southland","ES","South","297","Parent","15060158","1000297",NA,"1","Otepuni Stream"
"312","ES-00036","Oteramika Stream at Seaward Downs","Oteramika Stream at Seaward Downs","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"313","ES-00051","Pourakino River at Traill Road","Pourakino River at Traill Road","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","281","Sub","1505909","281",NA,"1","Pourakino River"
"314","ES-00068","Sandstone Stream at Kingston Crossing Rd","Sandstone Stream at Kingston Crossing Rd","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"315","ES-00064","Tokanui River at Fortrose Otara Road","Tokanui River at Fortrose Otara Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","467","Parent","15062924","467",NA,"1","Tokanui River"
"316","ES-00049","Tussock Creek at Cooper Road","Tussock Creek at Cooper Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"317","ES-00043","Upukerora River at Te Anau Milford Road","Upukerora River at Te Anau Milford Road","Yes","Upland","Native","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"318","ES-00001","Waiau River at Tuatapere","Waiau River at Tuatapere","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"319","ES-00018","Waihopai River u/s Queens Drive","Waihopai River u/s Queens Drive","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","297","Parent","15060158","297",NA,"1","Waihopai Stream"
"320","ES-00042","Waikaia River at Waikaia","Waikaia River at Waikaia","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"321","ES-00025","Waikaia River at Waipounamu Bridge Road","Waikaia River at Waipounamu Bridge Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"322","ES-00026","Waikaia River u/s Piano Flat","Waikaia River u/s Piano Flat","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"323","ES-00027","Waikaka Stream at Gore","Waikaka Stream at Gore","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","11","Parent","15062310","11",NA,"1","Mataura River"
"324","ES-00034","Waikawa River at Progress Valley","Waikawa River at Progress Valley","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","307","Parent","15062598","307",NA,"1","Waikawa River"
"325","ES-00017","Waikiwi Stream at North Road","Waikiwi Stream at North Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"326","ES-00033","Waikopikopiko Stream at Haldane CurioBay","Waikopikopiko Stream at Haldane CurioBay","Yes","Lowland","Native","Monthly","Monthly","Southland","ES","South","553","Parent","15062857","553",NA,"1","Waikopikopiko Stream"
"327","ES-00035","Waimatuku Stream at Lorneville Riverton Hwy","Waimatuku Stream at Lorneville Riverton Hwy","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","327","Parent","15059174","327",NA,"1","Waimatuku Stream"
"328","ES-00167","Wairaki River ds Blackmount Road","Wairaki River ds Blackmount Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"329","ES-00062","Whitestone River d/s Manapouri-Hillside","Whitestone River d/s Manapouri-Hillside","Yes","Upland","Rural","Monthly","Monthly","Southland","ES","South","4","Parent","15054970","4",NA,"1","Waiau River"
"330","ES-00014","Winton Stream at Lochiel","Winton Stream at Lochiel","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","20","Parent","15060885","20",NA,"1","Oreti River"
"331","ES-00106","Moffat Creek at Moffat Road","Moffat Creek at Moffat Road","Yes","Lowland","Rural","Monthly","Monthly","Southland","ES","South","375","Parent","15062561","375",NA,"1","Waituna"
"332","GDC-00004","Hikuwai River at Willowflat","Hikuwai River at Willowflat","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","165","Parent","5008880","165",NA,"1","Uawa River"
"333","GDC-00010","Mangatu River at Omapere Station","Mangatu River at Omapere Station","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"334","LAWA-100348","Mata at Mata Bridge Telemetry Station","Mata at Mata Bridge","TRUE","Lowland","Exotic","Monthly","Bimonthly","Gisborne","GDC","North","53","Parent","5001810","53",NA,"1","Waiapu"
"335","GDC-00017","Te Arai River at Pykes Weir","Te Arai River at Pykes Weir","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"336","GDC-00021","Waikohu River at Mahaki Station","Waikohu River at Mahaki Station","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"337","GDC-00022","Waimata River at Goodwins Rd Bridge","Waimata River at Goodwins Rd Bridge","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","294","Parent","5013192","294",NA,"1","Waimata River"
"338","GDC-00023","Waimata River at Monowai Bridge","Waimata River at Monowai Bridge","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","294","Parent","5013192","294",NA,"1","Waimata River"
"339","GDC-00024","Waingaromia River at Terrace Station","Waingaromia River at Terrace Station","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"340","GDC-00027","Waipaoa River at Kanakanaia","Waipaoa River at Kanakanaia Bridge","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"341","GDC-00028","Waipaoa River at Matawhero Bridge","Waipaoa at Matawhero Bridge","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"342","GDC-00030","Wharekopae River at Rangimoe","Wharekopae River at Rangimoe","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"343","GDC-00006","Karakatuwhero River at SH35 Bridge 17800001","Karakatuwhero River at SH35 Bridge 17800001","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","474","Parent","5000331","474",NA,"1","Karakatuwhero River"
"344","GDC-00005","Ihungia River at Ihungia Rd Br 18326002","Ihungia @ Ihungia Rd Bridge","TRUE","Upland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","53","Parent","5001810","53",NA,"1","Waiapu"
"345","GDC-00008","Mangaheia River at Paroa Road Bridge","Mangaheia River @ Paroa Rd Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","165","Parent","5008880","165",NA,"1","Uawa River"
"346","GDC-00009","Mangaoporo River at Tutamatai Bridge 18314003","Mangaoporo River at Tutumatai Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","53","Parent","5001810","53",NA,"1","Waiapu"
"348","GDC-00026","Wainui Stream at Pare Street","Wainui Stream at Pare Street","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","1753","Parent","5013341","1753",NA,"1","Wainui Stream"
"349","GDC-00001","Awapuni Drain Site 4 D/S Wetland Outlet at Fence Line","Awapuni Drain Site 4","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","1205","Parent","5013371","1205",NA,"1","Awapuni Drain"
"350","LAWA-100332","Matawai Stream at Tawai 16521512","Matawai Stream at Tawai","TRUE","Upland","Rural","Monthly","Monthly","Gisborne","GDC","North","63","Parent","4005089","63",NA,"1","Motu River"
"351","GDC-00031","Whakaahu Stream at Brunton Rd 19704009","Whakaahu Stream at Brunton Rd 19704009","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"353","GDC-00024","Waingaromia River at Terrace Station 19722001","Waingaromia River at Terrace Station 19722001","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
"354","GDC-00023","Waimata River at Monowai Bridge 19600056","Waimata River at Monowai Bridge","TRUE","Lowland","Rural","Monthly","Monthly","Gisborne","GDC","North","294","Parent","5013192","294",NA,"1","Waimata River"
"355","GDC-00002","Awatere River at SH35 Bridge","Awatere River at SH35 Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","336","Parent","5000408","336",NA,"1","Awatere River (East Cape)"
"356","LAWA-100330","Motu River at Kotare Station Bridge","Motu River at Kotare","TRUE","Upland","Rural","Monthly","Monthly","Gisborne","GDC","North","63","Parent","4005089","63",NA,"1","Motu River"
"357","GDC-00033","Turanganui River at Gladstone Rd Bridge","Turanganui River @ Gladstone Rd Bridge","TRUE","Lowland","Urban","Monthly","Monthly","Gisborne","GDC","North","294","Parent","5013192","294",NA,"1","Waimata River"
"359","GDC-00003","Hikuwai River at No 4 Bridge","Hikuwai River at No 4 Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","165","Parent","5008880","165",NA,"1","Uawa River"
"360","GDC-00007","Kopuawhakapata Stream at Hirini St","Kopuawhakapata Stream at Hirini St","TRUE","Lowland","Urban","Monthly","Monthly","Gisborne","GDC","North","3184","Parent","5013240","3184",NA,"1","Kopuawhakapapa"
"361","GDC-00009","Mangaoporo River at Tutamatai Bridge","Mangaoporo River at Tutumatai Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","53","Parent","5001810","53",NA,"1","Waiapu"
"362","LAWA-100336","Mangatutu Str at Sh35-Waipahuru Bridge","Mangatutu Stream @ SH35","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","360","Parent","5000099","360",NA,"1","Wharekahika River"
"363","GDC-00011","Mata River at Aorangi (Makarika Road)","Mata River at Aorangi (Makarika Road)","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","53","Parent","5001810","53",NA,"1","Waiapu"
"364","LAWA-100332","Matawai Stream at Tawai","Matawai Stream at Tawai","TRUE","Upland","Rural","Monthly","Monthly","Gisborne","GDC","North","63","Parent","4005089","63",NA,"1","Motu River"
"365","GDC-00013","Oweka River at SH35 Bridge","Oweka River at SH35 Bridge","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","360","Parent","5000099","360",NA,"1","Wharekahika River"
"366","GDC-00015","Poroporo River at Rangitukia Rd Bridge","Poroporo River at Rangitukia","TRUE","Lowland","Rural","Monthly","Bimonthly","Gisborne","GDC","North","359","Parent","5001786","359",NA,"1","Poroporo River"
"367","GDC-00020","Waikanae Creek at Grey St Bridge","Waikanae Creek at Grey St Bridge","TRUE","Lowland","Urban","Monthly","Monthly","Gisborne","GDC","North","1263","Parent","5013208","1263",NA,"1","Waikanae Creek"
"369","GDC-00027","Waipaoa River at Kanakanaia Bridge","Waipaoa River at Kanakanaia Br","TRUE","Lowland","Rural","Monthly","M","Gisborne","GDC","North","37","Parent","5013426","37",NA,"1","Waipaoa"
